date,trip_count,avg_temp_f,season
2022-01-01,1863,47.66,Winter
2022-01-02,4231,51.26,Winter
2022-01-03,3351,44.42,Winter
2022-01-04,3623,28.4,Winter
2022-01-05,3393,31.28,Winter
2022-01-06,4332,40.64,Winter
2022-01-07,1671,34.34,Winter
2022-01-08,2290,27.32,Winter
2022-01-09,2049,21.02,Winter
2022-01-10,3441,37.94,Winter
2022-01-11,2624,27.14,Winter
2022-01-12,3998,18.32,Winter
2022-01-13,4991,32.36,Winter
2022-01-14,4470,35.24,Winter
2022-01-15,2162,32.9,Winter
2022-01-16,2010,17.42,Winter
2022-01-17,2848,30.92,Winter
2022-01-18,4203,35.78,Winter
2022-01-19,5219,31.459999999999997,Winter
2022-01-20,3363,42.98,Winter
2022-01-21,3304,28.94,Winter
2022-01-22,3096,20.3,Winter
2022-01-23,3135,24.8,Winter
2022-01-24,3941,31.82,Winter
2022-01-25,5017,30.56,Winter
2022-01-26,4217,33.8,Winter
2022-01-27,4302,22.82,Winter
2022-01-28,3476,27.14,Winter
2022-01-29,283,30.92,Winter
2022-01-30,920,18.86,Winter
2022-01-31,2177,17.6,Winter
2022-01-01,1963,47.66,Winter
2022-01-02,4402,51.26,Winter
2022-01-03,3342,44.42,Winter
2022-01-04,3681,28.4,Winter
2022-01-05,3236,31.28,Winter
2022-01-06,4132,40.64,Winter
2022-01-07,1621,34.34,Winter
2022-01-08,2380,27.32,Winter
2022-01-09,2179,21.02,Winter
2022-01-10,3319,37.94,Winter
2022-01-11,2493,27.14,Winter
2022-01-12,3891,18.32,Winter
2022-01-13,4881,32.36,Winter
2022-01-14,4363,35.24,Winter
2022-01-15,2299,32.9,Winter
2022-01-16,2119,17.42,Winter
2022-01-17,2888,30.92,Winter
2022-01-18,4168,35.78,Winter
2022-01-19,5209,31.460000000000004,Winter
2022-01-20,3314,42.98,Winter
2022-01-21,3367,28.940000000000005,Winter
2022-01-22,3252,20.3,Winter
2022-01-23,3219,24.8,Winter
2022-01-24,4002,31.82,Winter
2022-01-25,4904,30.56,Winter
2022-01-26,4150,33.8,Winter
2022-01-27,4308,22.82,Winter
2022-01-28,3478,27.14,Winter
2022-01-29,319,30.920000000000005,Winter
2022-01-30,944,18.86,Winter
2022-01-31,2177,17.6,Winter
2022-01-01,2024,47.66,Winter
2022-01-02,4076,51.26,Winter
2022-01-03,3087,44.42,Winter
2022-01-04,3404,28.4,Winter
2022-01-05,3256,31.28,Winter
2022-01-06,4462,40.64,Winter
2022-01-07,1804,34.34,Winter
2022-01-08,2375,27.32,Winter
